id,dateAdded,dateUpdated,address,categories,primaryCategories,city,country,keys,latitude,longitude,name,postalCode,province,sourceURLs,websites,features,state,feature_dict,price range
AVwcmJXbByjofQCxgDJS,2015-10-24T00:20:00Z,2019-05-18T16:13:57Z,8835 Davis Blvd,"Mexican Restaurant,Restaurant,Mexican,Breakfast,Fast Food Restaurant, Mexican Restaurant, and Taco Place,Mexican Restaurants,Taco Place,Vegetarian,Fast Food Restaurant,Fast Food,Fast Food Restaurants,Restaurants",Accommodation & Food Services,Naples,US,us/fl/naples/8835davisblvd/-864103396,26.1553,-81.6891,Taco Bell,34116,FL,"http://www.yellowpages.com/naples-fl/mip/taco-bell-16724566,https://foursquare.com/v/taco-bell/4f7dd9c17bebffc0d0256b23,https://foursquare.com/v/taco-bell/4f7dd9c17bebffc0d0256b23/menu,http://www.citysearch.com/profile/33463537/naples_fl/taco_bell.html,https://www.allmenus.com/fl/naples/526636-taco-bell/menu/","http://www.tacobell.com/,https://locations.tacobell.com/fl/naples/8835-davis-blvd.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=024563&utm_content=website",{},Florida,{},average
AVwdNj_OkufWRAb53fDL,2016-10-11T08:53:35Z,2019-05-18T16:07:49Z,2537 N Dale Mabry Hwy,"Fast Food Restaurant,wich Place,Catering,Sandwich Place,Restaurants,Sandwich Shops",Accommodation & Food Services,Tampa,US,us/fl/tampa/2537ndalemabryhwy/-1947870258,27.9631,-82.5054,Jimmy John's,33607,FL,"https://foursquare.com/v/jimmy-johns/4c58b0e4f346c92868e44aca,http://www.citysearch.com/profile/689389676/tampa_fl/jimmy_john_s.html",http://www.jimmyjohns.com/,{},Florida,{},average
AVzRVrGg3D1zeR_xBV5l,2017-06-22T19:45:38Z,2019-05-18T15:27:00Z,1140 Hamner Avenue,"Mexican Restaurant,Restaurant,Mexican,Breakfast,Mexican Restaurants,Vegetarian,Fast Food Restaurant,Fast Food,Fast Food Restaurants,Restaurants",Accommodation & Food Services,Norco,US,us/ca/norco/1140hamneravenue/-864103396,33.8993,-117.5631,Taco Bell,92860,CA,"https://foursquare.com/v/taco-bell/4baee99bf964a52057e13be3/menu,https://foursquare.com/v/taco-bell/4baee99bf964a52057e13be3,http://www.citysearch.com/profile/669472/norco_ca/taco_bell.html,https://www.allmenus.com/ca/norco/531711-taco-bell/menu/,https://www.yellowpages.com/norco-ca/mip/taco-bell-8683791","https://locations.tacobell.com/ca/norco/1140-hamner-avenue.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=028444andutm_content=website,https://locations.tacobell.com/ca/norco/1140-hamner-avenue.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=028444&utm_content=website","{'open-hours': 'Regular HoursMon - Thu:8:00 am - 1:00 amFri - Sat:8:00 am - 2:00 amSun:8:00 am - 1:00 am', 'brands': 'Airheads, Brisk, Cinnabon, Dr Pepper, Lipton, MTN Dew, Mountain Dew, Pepsi, Sierra Mist, Starburst', 'payment': 'master card, visa, amex, cash, discover', 'location-description': 'Gateway Town Ctr', 'neighborhoods': 'Norco', 'weblinks': 'https://locations.tacobell.com/ca/norco/1140-hamner-avenue.htmlhttps://www.tacobell.com/foodhttps://www.tacobell.com/food', 'categories': 'Fast Food Restaurants, Mexican Restaurants, Restaurants ', 'Cuisines': 'Mexican, Fast Food, Latin American, Vegetarian, Omelets', 'Good For Family': 'Yes', 'Drive Through': 'Yes', 'Bike Parking': 'Yes', 'Attire': 'Casual', 'Takes Reservations': 'No', 'Outdoor Seating': 'No', 'Specialties': 'Tacos, Combos, Dollar Cravings, Burritos', 'Price Range ': 'Below Average', 'Good for Kids': 'Yes'}",California,"{'open-hours': 'regular hoursmon - thu:8:00 am - 1:00 amfri - sat:8:00 am - 2:00 amsun:8:00 am - 1:00 am', 'brands': 'airheads, brisk, cinnabon, dr pepper, lipton, mtn dew, mountain dew, pepsi, sierra mist, starburst', 'payment': 'master card, visa, amex, cash, discover', 'location-description': 'gateway town ctr', 'neighborhoods': 'norco', 'weblinks': 'https://locations.tacobell.com/ca/norco/1140-hamner-avenue.htmlhttps://www.tacobell.com/foodhttps://www.tacobell.com/food', 'categories': 'fast food restaurants, mexican restaurants, restaurants', 'cuisines': 'mexican, fast food, latin american, vegetarian, omelets', 'good for family': 'yes', 'drive through': 'yes', 'bike parking': 'yes', 'attire': 'casual', 'takes reservations': 'no', 'outdoor seating': 'no', 'specialties': 'tacos, combos, dollar cravings, burritos', 'price range': 'below average', 'good for kids': 'yes'}",below average
AVwdB7RQkufWRAb51kbw,2016-04-05T04:05:24Z,2019-05-18T14:40:33Z,1377 N Harbor City Blvd,"Delis And Delicatessens,Fast Food Restaurant,wich Place,Melbourne Restaurants,Sandwich Place,Restaurants,Sandwich Shops",Accommodation & Food Services,Melbourne,US,us/fl/melbourne/1377nharborcityblvd/-891525969,28.1294,-80.6299,Subway,32935,FL,"https://foursquare.com/v/subway/4bfd6cd28992a593091bacb0/menu,https://foursquare.com/v/subway/4bfd6cd28992a593091bacb0,http://www.menuism.com/restaurants/subway-melbourne-514203,http://www.citysearch.com/profile/2416380/melbourne_fl/subway.html","http://subway.com/,http://www.subway.com/,http://subway.com",{},Florida,{},average
AVwejVyj_7pvs4fzEE-g,2016-10-29T16:13:43Z,2019-05-18T14:40:31Z,1420 NW 10th St,"International restaurants,Greek Restaurant,Delicatessens,Greek Restaurants,American restaurants,Fast Food Restaurants,Take Out Restaurants,Karaoke,Restaurants,Delis And Delicatessens,Turkish restaurants,Mediterranean Restaurants,Armenian restaurants,Middle eastern restaurants,Greek restaurants,Sandwich Shops",Accommodation & Food Services,Ocala,US,us/fl/ocala/1420nw10thst/1448349777,29.1968,-82.1514,Manhattan Subs & Gyros,34475,FL,"https://www.yellowbook.com/profile/manhattan-subs-and-gyros_1634612904.html,https://foursquare.com/v/manhattan-subs--gyros/4cf6e57fdc40a35da9904a54,http://www.citysearch.com/profile/43517275/ocala_fl/manhattan_subs_gyros.html,http://www.yellowpages.com/ocala-fl/mip/manhattan-subs-gyros-29255138","http://www.manhattangyros.com/,http://www.manhattangyros.com",{},Florida,{},average
AWrLXaZgZ4Yw-wtdgFG6,2019-05-18T14:34:33Z,2019-05-18T14:34:33Z,5025 N State Line Avenue,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Texarkana,US,us/tx/texarkana/5025nstatelineavenue/-2061630068,33.46667,-94.04323,Burger King,75503,TX,https://www.yellowpages.com/texarkana-tx/mip/burger-king-1206646,https://locations.bk.com/tx/texarkana/5025-north-stateline-ave.html,"{'open-hours': 'Regular HoursMon - Sat:6:00 am - 11:30 pmSun:7:00 am - 12:00 am', 'payment': 'cash', 'location-description': 'State Line Plz', 'weblinks': 'https://burgerking.com/https://www.bk.com/menu', 'categories': 'Fast Food Restaurants, Hamburgers & Hot Dogs, Restaurants ', 'Wi-Fi': 'Free', 'Bike Parking': 'Yes', 'Attire': 'Casual', 'Drive Through': 'Yes', 'Cuisines': 'Fast Food', 'Takes Reservations': 'No', 'Outdoor Seating': 'No', 'Price Range ': 'Below Average'}",Texas,"{'open-hours': 'regular hoursmon - sat:6:00 am - 11:30 pmsun:7:00 am - 12:00 am', 'payment': 'cash', 'location-description': 'state line plz', 'weblinks': 'https://burgerking.com/https://www.bk.com/menu', 'categories': 'fast food restaurants, hamburgers & hot dogs, restaurants', 'wi-fi': 'free', 'bike parking': 'yes', 'attire': 'casual', 'drive through': 'yes', 'cuisines': 'fast food', 'takes reservations': 'no', 'outdoor seating': 'no', 'price range': 'below average'}",below average
AVwc8EmJIN2L1WUfqijA,2016-03-30T04:13:48Z,2019-05-18T14:04:15Z,1066 Harriman Pl,"Mexican Restaurant,Carry-out food,Restaurant,Wings Joint,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Mexican restaurants,Fast Food Restaurant, Mexican Restaurant, and Wings Joint,Restaurants",Accommodation & Food Services,San Bernardino,US,us/ca/sanbernardino/1066harrimanpl/-981164808,34.067,-117.2617,El Pollo Loco,92408,CA,"http://www.yellowbook.com/profile/el-pollo-loco_1505385303.html,https://foursquare.com/v/el-pollo-loco/4b6f38f1f964a5202fe52ce3","http://www.elpolloloco.com,http://www.elpolloloco.com/",{},California,{},average
AV4fnOOKRxPSIh2RerUb,2017-08-26T17:35:29Z,2019-05-18T13:26:46Z,2800 Milton Way Ste 5,"Carry-out food,Caterers,Delicatessens,Groceries,American restaurants,Fast Food Restaurants,Take Out Restaurants,Sandwiches,Restaurants,Sandwich Shops",Accommodation & Food Services,Milton,US,us/wa/milton/2800miltonwayste5/-891525969,47.25103,-122.29538,Subway,98354,WA,"https://www.yellowpages.com/milton-wa/mip/subway-2659496,http://www.yellowbook.com/profile/subway_1631512021.html",http://www.subway.com,"{'open-hours': 'Regular HoursMon - Fri:7:00 am - 9:30 pmSat:8:00 am - 9:30 pmSun:9:00 am - 9:00 pm', 'extra-phones': 'Phone:(253) 927-3158Fax:(253) 927-3158', 'payment': 'amex, master card, visa, cash, apple pay, debit, discover, all major credit cards', 'weblinks': 'http://order.subway.com/Stores/Redirect.aspx?s=12629&sa=0&f=r&utm_source=google&utm_medium=local&utm_term=0&utm_content=12629&utm_campaign=fwh-local-remote-order&cid=0:0:0:0:0:0&segment_code=0', 'categories': 'Fast Food Restaurants, Restaurants, Sandwich Shops, Take Out Restaurants ', 'Good For Groups': 'Yes', 'Good for Kids': 'Yes', 'Take Out': 'Yes', 'Cuisines': 'Sandwiches, Take Out, Fast Food', 'Takes Reservations': 'No', 'Outdoor Seating': 'No'}",Washington,"{'open-hours': 'regular hoursmon - fri:7:00 am - 9:30 pmsat:8:00 am - 9:30 pmsun:9:00 am - 9:00 pm', 'extra-phones': 'phone:(253) 927-3158fax:(253) 927-3158', 'payment': 'amex, master card, visa, cash, apple pay, debit, discover, all major credit cards', 'weblinks': 'http://order.subway.com/stores/redirect.aspx?s=12629&sa=0&f=r&utm_source=google&utm_medium=local&utm_term=0&utm_content=12629&utm_campaign=fwh-local-remote-order&cid=0:0:0:0:0:0&segment_code=0', 'categories': 'fast food restaurants, restaurants, sandwich shops, take out restaurants', 'good for groups': 'yes', 'good for kids': 'yes', 'take out': 'yes', 'cuisines': 'sandwiches, take out, fast food', 'takes reservations': 'no', 'outdoor seating': 'no'}",average
AWrLH48pQTFama1XpMmy,2019-05-18T13:26:44Z,2019-05-18T13:26:44Z,235 Roosevelt Avenue,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Accommodation & Food Services,Enumclaw,US,us/wa/enumclaw/235rooseveltavenue/-891525969,47.19938,-121.97502,Subway,98022,WA,https://www.yellowpages.com/enumclaw-wa/mip/subway-10529877,http://www.subway.com,"{'open-hours': 'Regular HoursMon - Fri:8:00 am - 10:00 pmSat - Sun:7:00 am - 10:00 pm', 'payment': 'master card, visa, amex, discover, all major credit cards, apple pay, company card, debit, diners club', 'weblinks': 'https://www.subway.comhttps://subway.com/https://subway.com/', 'categories': 'Fast Food Restaurants, Restaurants, Sandwich Shops, Take Out Restaurants ', 'Wi-Fi': 'No', 'Bike Parking': 'No', 'Attire': 'Casual', 'Good For Groups': 'Yes', 'Good for Kids': 'Yes', 'Take Out': 'Yes', 'Cuisines': 'Sandwiches, Fast Food', 'Drive Through': 'No', 'Takes Reservations': 'No', 'Outdoor Seating': 'No', 'Price Range ': 'Below Average'}",Washington,"{'open-hours': 'regular hoursmon - fri:8:00 am - 10:00 pmsat - sun:7:00 am - 10:00 pm', 'payment': 'master card, visa, amex, discover, all major credit cards, apple pay, company card, debit, diners club', 'weblinks': 'https://www.subway.comhttps://subway.com/https://subway.com/', 'categories': 'fast food restaurants, restaurants, sandwich shops, take out restaurants', 'wi-fi': 'no', 'bike parking': 'no', 'attire': 'casual', 'good for groups': 'yes', 'good for kids': 'yes', 'take out': 'yes', 'cuisines': 'sandwiches, fast food', 'drive through': 'no', 'takes reservations': 'no', 'outdoor seating': 'no', 'price range': 'below average'}",below average
AWrLHxLEsVYjT2BJAa4m,2019-05-18T13:26:12Z,2019-05-18T13:26:12Z,1402 1st Street,"Pizza,Fast Food Restaurants,Restaurants,Take Out Restaurants",Accommodation & Food Services,Enumclaw,US,us/wa/enumclaw/14021ststreet/-1055723171,47.20153,-121.98932,Domino's Pizza,98022,WA,https://www.yellowpages.com/enumclaw-wa/mip/dominos-pizza-19420187,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,"{'open-hours': 'Regular HoursMon - Thu:10:00 am - 12:00 amFri - Sat:10:00 am - 1:00 amSun:10:00 am - 12:00 am', 'payment': 'all major credit cards, diners club, jcb', 'weblinks': 'http://www.dominos.comhttps://www.dominos.com/en/pages/order/menu?utm_source=locallistings&utm_medium=loclist&utm_campaign=localmapsmenuclick#!/menu/category/viewAll/https://www.dominos.com/en/restaurants?type=Carryout&utm_campaign=LocalMapsOrderCarryout&utm_source=LocalListings&utm_medium=loclist', 'categories': 'Pizza, Fast Food Restaurants, Restaurants, Take Out Restaurants ', 'Cuisine': 'Fast Food, Pizza'}",Washington,"{'open-hours': 'regular hoursmon - thu:10:00 am - 12:00 amfri - sat:10:00 am - 1:00 amsun:10:00 am - 12:00 am', 'payment': 'all major credit cards, diners club, jcb', 'weblinks': 'http://www.dominos.comhttps://www.dominos.com/en/pages/order/menu?utm_source=locallistings&utm_medium=loclist&utm_campaign=localmapsmenuclick#!/menu/category/viewall/https://www.dominos.com/en/restaurants?type=carryout&utm_campaign=localmapsordercarryout&utm_source=locallistings&utm_medium=loclist', 'categories': 'pizza, fast food restaurants, restaurants, take out restaurants', 'cuisine': 'fast food, pizza'}",average
AVweBbD3_7pvs4fz_WRm,2015-09-21T08:23:14Z,2019-05-18T13:26:11Z,2800 Milton Way,"Pizza,Restaurant,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Sandwich Place,Restaurants",Accommodation & Food Services,Milton,US,us/wa/milton/2800miltonway/-1055723171,47.25103,-122.29538,Domino's Pizza,98354,WA,"http://www.tripadvisor.com/Restaurant_Review-g58612-d4626228-Reviews-Domino_s_Pizza-Milton_Washington.html,https://foursquare.com/v/dominos-pizza/4c79e97f81bca093d636ff14,https://www.yellowpages.com/milton-wa/mip/dominos-pizza-468423718,http://www.tripadvisor.com/Restaurant_Review-g58612-d7154770-Reviews-Milton_Wok-Milton_Washington.html,http://www.tripadvisor.com/Restaurant_Review-g58612-d4661878-Reviews-Starbucks-Milton_Washington.html,https://foursquare.com/v/dominos-pizza/4c79e97f81bca093d636ff14/menu,https://www.tripadvisor.com/Restaurant_Review-g58612-d4626228-Reviews-Domino_s_Pizza-Milton_Washington.html,http://www.citysearch.com/profile/10849701/milton_wa/domino_s_pizza.html,http://www.yellowpages.com/milton-wa/mip/dominos-pizza-468423718","https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps,https://www.dominos.com/en/pages/order/menu.jsp?utm_source=locallistings&utm_medium=loclist&utm_campaign=localmaps#/menu/category/all","{'open-hours': 'Regular HoursMon - Thu:10:00 am - 12:00 amFri - Sat:10:00 am - 1:00 amSun:10:00 am - 12:00 am', 'payment': 'cash, jcb, all major credit cards, diners club, master card, visa, amex, discover', 'weblinks': 'http://www.dominos.comhttps://www.dominos.com/en/pages/order/menu?utm_source=locallistings&utm_medium=loclist&utm_campaign=localmapsmenuclick#!/menu/category/viewAll/https://www.dominos.com/en/restaurants?type=Carryout&utm_campaign=LocalMapsOrderCarryout&utm_source=LocalListings&utm_medium=loclist', 'categories': 'Pizza, Fast Food Restaurants, Restaurants, Take Out Restaurants ', 'Wi-Fi': 'No', 'Bike Parking': 'Yes', 'Attire': 'Casual', 'Good For Groups': 'Yes', 'Good for Kids': 'No', 'Wheelchair Accessible': 'No', 'Take Out': 'Yes', 'Cuisines': 'Pizza', 'Takes Reservations': 'No', 'Outdoor Seating': 'No'}",Washington,"{'open-hours': 'regular hoursmon - thu:10:00 am - 12:00 amfri - sat:10:00 am - 1:00 amsun:10:00 am - 12:00 am', 'payment': 'cash, jcb, all major credit cards, diners club, master card, visa, amex, discover', 'weblinks': 'http://www.dominos.comhttps://www.dominos.com/en/pages/order/menu?utm_source=locallistings&utm_medium=loclist&utm_campaign=localmapsmenuclick#!/menu/category/viewall/https://www.dominos.com/en/restaurants?type=carryout&utm_campaign=localmapsordercarryout&utm_source=locallistings&utm_medium=loclist', 'categories': 'pizza, fast food restaurants, restaurants, take out restaurants', 'wi-fi': 'no', 'bike parking': 'yes', 'attire': 'casual', 'good for groups': 'yes', 'good for kids': 'no', 'wheelchair accessible': 'no', 'take out': 'yes', 'cuisines': 'pizza', 'takes reservations': 'no', 'outdoor seating': 'no'}",average
